"ID","Sample","Texapon SB 3 KC","Plantapon ACG 50","Plantapon LC 7","Plantacare 818","Plantacare 2000","Dehyton MC","Dehyton PK 45","Dehyton ML","Dehyton AB 30","Plantapon Amino SCG-L","Plantapon Amino KG-L","Dehyquart A-CA","Luviquat Excellence","Dehyquart CC6","Dehyquart CC7 Benz","Salcare Super 7","Arlypon F","Arlypon TT","Water","Sample Density"
1,1,0,0,0,0,0,0,0,8.07,0,0,0,11.82,1.25,0,0,0,1.06,0,77.81,1
2,2,0,11.4,8.62,0,0,0,0,0,0,0,0,0,2.53,0,0,0,2.39,0,75.06,1.02
3,3,0,0,0,0,0,0,0,0,0,9.32,8.49,0,1.08,0,0,0,2.5,0,78.61,1
4,4,0,0,10.43,0,0,0,0,11.26,0,0,0,0,1.97,0,0,0,1.5,0,74.83,1.01
5,5,0,0,0,0,11.54,0,0,11.12,0,0,0,0,2.31,0,0,0,1.94,0,73.08,1.02
6,6,10.29,10.29,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,3.5,0,74,1.02
7,7,10.01,0,10.85,0,0,0,0,0,0,0,0,0,2.81,0,0,0,2.72,0,73.61,1.02
8,8,0,0,0,0,0,0,11.26,0,0,0,0,11.54,2.97,0,0,0,3.83,0,70.39,1
9,9,0,0,8.9,0,0,10.43,0,0,0,0,0,0,1.75,0,0,0,2.17,0,76.75,1.01
10,10,0,0,0,8.49,0,0,0,8.76,0,0,0,0,1.42,0,0,0,2.06,0,79.28,1.01
11,11,0,0,12.79,0,0,0,11.68,0,0,0,0,0,2.25,0,0,0,3.94,0,69.33,1.01
12,12,0,0,8.62,0,0,0,0,0,0,8.21,0,0,2.47,0,0,0,3.61,0,77.08,1.01
13,13,0,0,0,0,9.88,0,0,0,0,10.71,0,0,2.14,0,0,0,4.94,0,72.33,1.01
14,14,0,10.71,0,0,8.35,0,0,0,0,0,0,0,1.19,0,0,0,3.06,0,76.69,1.02
15,15,0,0,0,0,0,0,0,12.51,10.99,0,0,0,2.42,0,0,0,2.83,0,71.25,1.01
16,16,0,0,0,0,0,0,0,0,0,0,12.1,12.1,1.36,0,0,0,4.72,0,69.72,0.99
17,17,0,0,0,8.35,11.4,0,0,0,0,0,0,0,1.53,0,0,0,3.28,0,75.44,1.01
18,18,0,0,0,9.18,0,11.96,0,0,0,0,0,0,2.64,0,0,0,2.61,0,73.61,1.02
19,19,0,0,11.68,0,0,0,0,0,9.32,0,0,0,1.69,0,0,0,1.61,0,75.69,1.01
20,20,12.38,0,0,0,0,0,0,0,0,0,9.04,0,1.86,0,0,0,4.39,0,72.33,1.01
21,21,0,0,0,0,0,0,10.85,0,0,0,12.79,0,1.31,0,0,0,4.06,0,71,1
22,22,0,0,0,9.74,0,0,0,0,0,0,8.07,0,1.64,0,0,0,3.17,0,77.39,1.01
23,23,0,0,0,0,0,12.24,0,10.01,0,0,0,0,2.03,0,0,0,4.61,0,71.11,1.01
24,24,10.99,0,0,0,0,8.9,0,0,0,0,0,0,1.03,0,0,0,3.72,0,75.36,1.02
25,25,0,0,0,8.21,0,0,0,0,12.65,0,0,0,1.81,0,0,0,2.94,0,74.39,1.01
26,26,0,0,0,0,0,0,9.04,0,12.93,0,0,0,1.47,0,0,0,4.83,0,71.72,1
27,27,0,0,0,0,0,0,0,0,11.12,0,9.18,0,1.58,0,0,0,1.17,0,76.94,1
28,28,0,0,0,0,0,12.93,9.6,0,0,0,0,0,2.58,0,0,0,4.17,0,70.72,1.01
29,29,0,0,0,9.6,0,0,9.88,0,0,0,0,0,2.69,0,0,0,2.28,0,75.56,1.01
30,30,0,0,0,0,8.76,0,0,0,0,0,0,12.38,1.14,0,0,0,1.83,0,75.89,1
31,31,0,0,0,0,12.65,0,0,0,9.74,0,0,0,2.92,0,0,0,1.72,0,72.97,1.01
32,32,0,0,0,0,0,0,0,0,9.46,0,0,10.15,2.86,0,0,0,1.39,0,76.14,1
33,33,0,0,0,0,0,10.15,0,0,0,0,9.46,0,2.19,0,0,0,3.39,0,74.81,1.01
34,34,0,0,0,0,0,11.96,0,0,0,12.24,0,0,2.36,0,0,0,1.28,0,72.17,1.02
35,35,0,11.82,0,0,0,0,0,12.51,0,0,0,0,2.75,0,0,0,4.5,0,68.42,1.02
36,36,0,0,0,0,0,10.57,0,0,10.57,0,0,0,2.08,0,0,0,4.28,0,72.5,1.01
